episode,ep_reward,success,path_length,motion_time
0,99.7,1,3,0.00024509429931640625
1,99.4,1,6,0.0002779960632324219
2,99.5,1,5,0.00024008750915527344
3,99.2,1,8,0.0003001689910888672
4,99.30000000000001,1,7,0.00028705596923828125
5,99.7,1,3,0.00019311904907226562
6,99.60000000000001,1,4,0.00020074844360351562
7,99.60000000000001,1,4,0.00021004676818847656
8,99.30000000000001,1,7,0.0002522468566894531
9,99.80000000000001,1,2,0.0001461505889892578
10,99.7,1,3,0.00018787384033203125
11,99.9,1,1,9.703636169433594e-05
12,99.10000000000001,1,9,0.0003070831298828125
13,99.9,1,1,0.000125885009765625
14,99.7,1,3,0.00019025802612304688
15,99.7,1,3,0.00018787384033203125
16,-209.99999999999932,0,200,0.004698038101196289
17,99.10000000000001,1,9,0.00042510032653808594
18,99.7,1,3,0.00018596649169921875
19,99.5,1,5,0.00024509429931640625
20,99.30000000000001,1,7,0.0002892017364501953
21,99.80000000000001,1,2,0.00016570091247558594
22,99.30000000000001,1,7,0.00028204917907714844
23,99.9,1,1,0.0001220703125
24,99.80000000000001,1,2,0.00015306472778320312
25,-20.000000000000014,0,200,0.004617929458618164
26,99.7,1,3,0.0001919269561767578
27,99.80000000000001,1,2,0.00015091896057128906
28,99.80000000000001,1,2,0.00015997886657714844
29,99.5,1,5,0.00024890899658203125
30,99.60000000000001,1,4,0.0002219676971435547
31,99.5,1,5,0.0002491474151611328
32,99.60000000000001,1,4,0.00020575523376464844
33,99.60000000000001,1,4,0.00021505355834960938
34,-20.000000000000014,0,200,0.00469517707824707
35,99.4,1,6,0.0002696514129638672
36,99.80000000000001,1,2,0.00016808509826660156
37,99.80000000000001,1,2,0.00016260147094726562
38,99.60000000000001,1,4,0.00020313262939453125
39,99.10000000000001,1,9,0.0003299713134765625
40,99.4,1,6,0.0002529621124267578
41,-20.000000000000014,0,200,0.004549980163574219
42,99.4,1,6,0.0002598762512207031
43,98.7,1,13,0.000431060791015625
44,99.9,1,1,0.00014591217041015625
45,99.30000000000001,1,7,0.0002789497375488281
46,99.9,1,1,0.00012302398681640625
47,99.7,1,3,0.0001888275146484375
48,99.7,1,3,0.0001900196075439453
49,99.60000000000001,1,4,0.00022101402282714844
