episode,ep_reward,mean_distance,mean_loss,epsilon,val_reward,val_loss,success,path_length,motion_time
0,83.30000000000001,0.6447952732221404,0.02803447686914188,0.9875424010369677,-9.99999999999998,0.001668596017825621,1,67,0.0178220272064209
1,80.89999999999999,0.5780485739894942,1.2094178174932797,0.9780280741028262,,,1,51,0.022752761840820312
2,-29.000000000000064,0.8880305528640747,1.1017663525417447,0.9596518870270134,,,0,100,0.04268789291381836
3,89.20000000000002,0.44947773963212967,0.7519194089497129,0.9509610118581833,,,1,48,0.022454023361206055
4,77.6,0.43049385636410814,0.8480369270719746,0.9341811695721153,,,1,94,0.03937387466430664
5,-17.99999999999999,0.9491041988134384,1.1529347325488926,0.9166732093774027,,,0,100,0.041094303131103516
6,-31.00000000000007,0.7636874234676361,1.0282545062899588,0.8995119300222378,,,0,100,0.041426897048950195
7,93.2,0.5819188095629215,0.5606787550662246,0.8947679587312998,,,1,28,0.011662006378173828
8,99.9,0.0,1.6706725358963013,0.8945990220337864,,,1,1,0.00042176246643066406
9,99.9,0.0,0.04569578543305397,0.894430119120234,,,1,1,0.0004360675811767578
10,99.9,0.0,0.058613330125808716,0.8942612499838865,,,1,1,0.00045108795166015625
11,97.60000000000001,0.440457033259528,0.8482857178896666,0.891900624901322,,,1,14,0.005785942077636719
12,-35.000000000000085,0.659636776149273,1.352064860574901,0.8752298755844041,,,0,100,0.04102325439453125
13,-21.000000000000004,0.7494751779735088,1.3198720565065742,0.8588892292209316,,,0,100,0.041628122329711914
14,94.4,0.7453401019940009,1.3899392382456706,0.8546939224799296,,,1,26,0.010610818862915039
15,89.9,0.3059904057355154,1.4812726172662916,0.8513212954799741,,,1,21,0.008494853973388672
16,-16.999999999999982,0.46029769718647,1.1263813537359237,0.8354540707219211,,,0,100,0.04097604751586914
17,-14.999999999999972,0.8636754304170609,1.406202032212168,0.8199010380650175,,,0,100,0.04099392890930176
18,99.80000000000001,0.09999999403953552,2.395136535167694,0.8195931392336631,,,1,2,0.0008807182312011719
19,-13.999999999999973,0.6453843888640404,1.009638571087271,0.8043541740628175,,,0,100,0.04275012016296387
20,91.20000000000002,0.5158403734950459,1.1349237821722293,0.7941644047844821,-9.99999999999998,0.02698155615013093,1,68,0.028177976608276367
21,76.89999999999999,0.4611800758191097,1.1543306066068235,0.7822060655028905,,,1,81,0.03515505790710449
22,-14.999999999999977,0.7552093994617463,1.0528590451553463,0.7677074139930925,,,0,100,0.04212021827697754
23,78.29999999999998,0.49798972072539394,0.883690371480468,0.7567393903633978,,,1,77,0.03202199935913086
24,93.00000000000001,0.6310961067676544,1.095296557697778,0.752511649925744,,,1,30,0.012321233749389648
25,-28.00000000000003,0.8053198367357254,1.0219312756694854,0.7386009872397541,,,0,100,0.040849924087524414
26,-10.99999999999998,1.0305455005168915,1.0966128577664493,0.7249657741301289,,,0,100,0.04056596755981445
27,-11.999999999999977,0.4923197603225708,0.9203310803603381,0.7116005563298193,,,0,100,0.04132986068725586
28,-16.999999999999993,0.6726548755168915,0.9199537215195597,0.6984999875735002,,,0,100,0.04057121276855469
29,99.4,0.3604186375935872,0.3029946045329173,0.697722254321691,,,1,6,0.0024662017822265625
30,-14.999999999999977,0.5933292031288147,1.1059424533043056,0.6848964943573823,,,0,100,0.04061579704284668
31,-13.999999999999979,0.6412487322092056,0.8362424447759986,0.6723247014562159,,,0,100,0.04183220863342285
32,99.30000000000001,0.4046365107808794,0.25853306906563894,0.6714540564678745,,,1,7,0.002913951873779297
33,94.9,0.6430314957134186,0.7412006794324806,0.6676129610179696,,,1,31,0.012737035751342773
34,99.9,0.0,1.5959733724594116,0.6674894507772018,,,1,1,0.0004138946533203125
35,-10.99999999999998,0.698655711710453,0.7390660922415555,0.6552623404327301,,,0,100,0.041204214096069336
36,-9.99999999999998,0.8495888698101044,0.6906673119403421,0.6432773430947037,,,0,100,0.04145312309265137
37,-10.999999999999979,0.6050659459829331,1.097586578791961,0.6315296646043853,,,0,100,0.05229520797729492
38,-10.99999999999998,0.9488163775205612,0.8441820993460715,0.6200146057337408,,,0,100,0.04627513885498047
39,97.10000000000001,0.35868116082816287,0.7835066388521729,0.616718090156885,,,1,29,0.012256145477294922
40,98.4,0.36582788825035095,0.5461810727914175,0.6160384363225556,-69.79999999999988,0.4053105687018251,1,6,0.0025849342346191406
41,98.80000000000001,0.30000000447034836,0.9407189058450361,0.6146815729627078,,,1,12,0.005644083023071289
42,-11.99999999999998,0.5554732117056846,0.8416483520902693,0.6035001286588179,,,0,100,0.042871713638305664
43,99.4,0.35448045283555984,0.8193114791065454,0.6028363268651596,,,1,6,0.002501964569091797
44,-11.999999999999977,0.6999179202318192,0.8254083158262074,0.5918894341490092,,,0,100,0.041558027267456055
45,-9.99999999999998,0.9277139550447464,0.8389801229164005,0.5811593044318072,,,0,100,0.04110312461853027
46,99.2,0.3309016786515713,0.8080518671777099,0.5803101290661662,,,1,8,0.003309011459350586
47,-11.99999999999998,0.5848236358165741,0.8676320762094111,0.5698092849517903,,,0,100,0.04199719429016113
48,-11.999999999999977,0.6530155456066131,0.7407252962514758,0.559516371482278,,,0,100,0.04148578643798828
49,99.60000000000001,0.14999999105930328,0.7977674440480769,0.559108921386861,,,1,4,0.0016698837280273438
